iter	Passed	Remaining
0	360	360093
1	472	235813
2	584	194164
3	693	172685
4	806	160438
5	909	150712
6	1021	144864
7	1129	140002
8	1255	138242
9	1359	134588
10	1467	131948
11	1574	129626
12	1699	129054
13	1808	127381
14	1914	125721
15	2018	124164
16	2111	122078
17	2211	120665
18	2321	119850
19	2443	119752
20	2560	119347
21	2681	119183
22	2786	118345
23	2902	118027
24	3009	117359
25	3113	116632
26	3225	116230
27	3328	115558
28	3447	115423
29	3562	115191
30	3674	114865
31	3783	114458
32	3880	113696
33	3984	113207
34	4065	112077
35	4175	111806
36	4298	111885
37	4440	112408
38	4544	111975
39	4653	111692
40	4748	111079
41	4886	111465
42	4992	111122
43	5100	110814
44	5202	110401
45	5315	110244
46	5427	110060
47	5532	109727
48	5643	109525
49	5765	109543
50	5891	109619
51	6024	109835
52	6168	110226
53	6279	110006
54	6394	109869
55	6501	109603
56	6612	109394
57	6723	109192
58	6839	109083
59	6964	109105
60	7089	109138
61	7184	108688
62	7303	108619
63	7414	108431
64	7540	108461
65	7649	108246
66	7756	108006
67	7874	107933
68	7986	107759
69	8082	107383
70	8197	107260
71	8306	107063
72	8429	107042
73	8513	106537
74	8637	106525
75	8715	105963
76	8830	105847
77	8946	105751
78	9064	105680
79	9183	105608
80	9305	105582
81	9418	105439
82	9517	105148
83	9608	104773
84	9721	104651
85	9849	104676
86	9953	104454
87	10062	104280
88	10168	104084
89	10264	103788
90	10379	103676
91	10486	103495
92	10593	103310
93	10705	103185
94	10790	102793
95	10904	102681
96	11029	102674
97	11139	102529
98	11253	102415
99	11373	102359
100	11479	102182
101	11590	102040
102	11703	101922
103	11812	101770
104	11925	101652
105	12051	101638
106	12147	101378
107	12261	101269
108	12378	101188
109	12499	101135
110	12624	101106
111	12726	100906
112	12884	101139
113	13002	101053
114	13127	101023
115	13241	100911
116	13348	100741
117	13475	100726
118	13584	100570
119	13662	100193
120	13760	99964
121	13861	99756
122	13964	99570
123	14071	99409
124	14175	99228
125	14278	99044
126	14387	98902
127	14491	98721
128	14603	98601
129	14712	98463
130	14820	98311
131	14924	98137
132	15026	97955
133	15130	97784
134	15239	97645
135	15346	97492
136	15471	97456
137	15583	97341
138	15691	97196
139	15807	97101
140	15919	96986
141	16027	96842
142	16135	96702
143	16257	96639
144	16379	96583
145	16483	96416
146	16605	96355
147	16716	96234
148	16830	96127
149	16934	95959
150	17039	95802
151	17150	95683
152	17245	95469
153	17362	95380
154	17452	95145
155	17565	95033
156	17672	94891
157	17781	94758
158	17883	94592
159	17995	94474
160	18114	94396
161	18223	94269
162	18327	94113
163	18429	93948
164	18571	93984
165	18710	94003
166	18844	93996
167	18965	93923
168	19082	93833
169	19193	93708
170	19302	93577
171	19391	93349
172	19498	93207
173	19612	93101
174	19707	92907
175	19825	92819
176	19936	92697
177	20059	92632
178	20188	92597
179	20297	92466
180	20398	92302
181	20520	92231
182	20634	92124
183	20756	92052
184	20862	91907
185	20962	91739
186	21077	91635
187	21189	91522
188	21301	91406
189	21413	91288
190	21523	91166
191	21622	90994
192	21726	90847
193	21835	90717
194	21944	90592
195	22045	90429
196	22157	90316
197	22274	90224
198	22377	90070
199	22485	89942
200	22607	89869
201	22738	89826
202	22849	89708
203	22965	89608
204	23072	89476
205	23175	89327
206	23262	89114
207	23378	89018
208	23495	88923
209	23604	88796
210	23700	88623
211	23824	88556
212	23945	88475
213	24071	88413
214	24207	88383
215	24295	88182
216	24410	88080
217	24511	87925
218	24612	87775
219	24703	87583
220	24815	87472
221	24924	87348
222	25022	87184
223	25138	87086
224	25245	86956
225	25349	86817
226	25468	86728
227	25573	86592
228	25664	86408
229	25777	86298
230	25878	86149
231	25988	86031
232	26073	85828
233	26178	85696
234	26284	85565
235	26400	85465
236	26510	85349
237	26639	85289
238	26760	85208
239	26849	85023
240	26960	84909
241	27085	84837
242	27182	84681
243	27295	84571
244	27405	84455
245	27528	84377
246	27629	84232
247	27736	84102
248	27859	84027
249	27971	83915
250	28056	83722
251	28144	83540
252	28272	83476
253	28381	83356
254	28475	83192
255	28587	83082
256	28692	82952
257	28798	82822
258	28898	82678
259	29008	82562
260	29121	82453
261	29222	82313
262	29307	82126
263	29433	82056
264	29549	81957
265	29656	81834
266	29785	81769
267	29902	81673
268	29999	81522
269	30111	81412
270	30234	81330
271	30367	81277
272	30485	81183
273	30596	81070
274	30708	80959
275	30820	80846
276	30954	80795
277	31062	80672
278	31184	80587
279	31274	80420
280	31395	80331
281	31507	80222
282	31626	80128
283	31710	79945
284	31820	79830
285	31908	79660
286	32020	79548
287	32119	79407
288	32208	79240
289	32297	79072
290	32423	78997
291	32539	78897
292	32657	78801
293	32793	78748
294	32898	78620
295	32981	78443
296	33092	78330
297	33206	78224
298	33310	78096
299	33409	77954
300	33507	77812
301	33641	77753
302	33733	77598
303	33845	77488
304	33939	77337
305	34048	77222
306	34147	77081
307	34257	76969
308	34369	76857
309	34476	76736
310	34597	76647
311	34705	76529
312	34812	76409
313	34946	76347
314	35044	76207
315	35160	76105
316	35291	76037
317	35374	75867
318	35496	75778
319	35610	75673
320	35718	75553
321	35826	75435
322	35942	75334
323	36041	75196
324	36147	75074
325	36266	74980
326	36372	74858
327	36486	74753
328	36577	74599
329	36668	74447
330	36761	74299
331	36871	74186
332	36983	74078
333	37094	73967
334	37183	73812
335	37312	73735
336	37414	73608
