IDpol,ClaimAmount
1,0.0
3,0.0
5,0.0
10,0.0
11,0.0
13,0.0
15,0.0
17,0.0
18,0.0
21,0.0
25,0.0
27,0.0
30,0.0
32,0.0
35,0.0
36,0.0
38,0.0
42,0.0
44,0.0
45,0.0
47,0.0
49,0.0
50,0.0
52,0.0
53,0.0
54,0.0
55,0.0
58,0.0
59,0.0
60,0.0
62,0.0
65,0.0
67,0.0
68,0.0
72,0.0
73,0.0
77,0.0
78,0.0
80,0.0
82,0.0
84,0.0
86,0.0
88,0.0
90,0.0
92,0.0
94,0.0
96,0.0
97,0.0
100,0.0
102,0.0
104,0.0
107,0.0
108,0.0
109,0.0
112,0.0
113,0.0
115,0.0
117,0.0
120,0.0
121,0.0
122,0.0
124,0.0
127,0.0
129,0.0
133,0.0
137,0.0
139,303.0
142,0.0
145,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
153,0.0
155,0.0
158,0.0
159,0.0
161,0.0
163,0.0
166,0.0
167,0.0
170,0.0
173,0.0
175,0.0
178,0.0
179,0.0
181,0.0
183,0.0
184,0.0
186,0.0
188,0.0
189,0.0
190,1981.84
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
200,0.0
202,0.0
205,0.0
206,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
215,0.0
217,0.0
219,0.0
220,0.0
222,0.0
223,0.0
225,0.0
227,0.0
229,0.0
230,0.0
233,0.0
234,0.0
237,0.0
238,0.0
241,0.0
246,0.0
247,0.0
250,0.0
256,0.0
259,0.0
261,0.0
264,0.0
266,0.0
268,0.0
271,0.0
272,0.0
274,0.0
275,0.0
277,0.0
278,0.0
280,0.0
282,0.0
285,0.0
286,0.0
289,0.0
291,0.0
292,0.0
293,0.0
295,0.0
296,0.0
299,0.0
300,0.0
303,0.0
304,0.0
306,0.0
307,0.0
311,0.0
312,0.0
316,0.0
319,0.0
320,0.0
322,0.0
325,0.0
328,0.0
329,0.0
332,0.0
335,0.0
337,0.0
339,0.0
340,0.0
345,0.0
346,0.0
349,0.0
352,0.0
354,0.0
355,0.0
359,0.0
361,0.0
364,0.0
365,0.0
367,0.0
369,0.0
371,0.0
372,0.0
374,0.0
376,0.0
379,0.0
382,0.0
383,0.0
386,0.0
387,0.0
391,0.0
394,0.0
397,0.0
400,0.0
402,0.0
403,0.0
406,0.0
407,0.0
412,0.0
414,1456.55
416,0.0
417,0.0
418,0.0
420,0.0
422,0.0
424,989.64
424,9844.36
425,0.0
427,0.0
434,0.0
436,0.0
438,0.0
439,0.0
442,0.0
443,0.0
444,0.0
447,0.0
448,0.0
449,0.0
451,0.0
454,0.0
456,0.0
459,0.0
462,0.0
463,3986.67
465,0.0
466,0.0
468,0.0
470,0.0
473,0.0
477,0.0
478,0.0
480,0.0
482,0.0
484,0.0
486,0.0
487,0.0
490,0.0
491,0.0
493,0.0
495,0.0
496,0.0
501,0.0
504,0.0
505,0.0
507,0.0
