iter	Passed	Remaining
0	318	318450
1	426	212842
2	519	172556
3	609	151813
4	699	139188
5	801	132862
6	887	125857
7	964	119633
8	1039	114418
9	1118	110775
10	1196	107607
11	1280	105403
12	1363	103547
13	1442	101600
14	1520	99837
15	1611	99079
16	1685	97460
17	1770	96570
18	1853	95720
19	1940	95061
20	2022	94283
21	2105	93607
22	2179	92565
23	2269	92278
24	2347	91542
25	2443	91533
26	2525	91012
27	2599	90230
28	2676	89620
29	2750	88938
30	2834	88593
31	2918	88275
32	2985	87474
33	3058	86883
34	3119	85998
35	3198	85652
36	3290	85650
37	3385	85712
38	3459	85238
39	3532	84790
40	3596	84121
41	3679	83926
42	3750	83475
43	3822	83046
44	3892	82617
45	3980	82544
46	4056	82250
47	4124	81796
48	4196	81445
49	4274	81210
50	4351	80980
51	4421	80598
52	4508	80548
53	4586	80342
54	4663	80128
55	4734	79815
56	4808	79548
57	4884	79338
58	4960	79117
59	5045	79041
60	5128	78945
61	5190	78520
62	5268	78353
63	5336	78041
64	5409	77811
65	5479	77550
66	5556	77372
67	5636	77258
68	5711	77063
69	5776	76743
70	5852	76580
71	5928	76414
72	6008	76299
73	6081	76101
74	6157	75937
75	6207	75475
76	6284	75332
77	6358	75155
78	6436	75035
79	6512	74892
80	6593	74805
81	6664	74608
82	6733	74395
83	6794	74096
84	6871	73970
85	6960	73970
86	7030	73777
87	7112	73716
88	7186	73557
89	7252	73333
90	7320	73129
91	7389	72930
92	7461	72773
93	7536	72639
94	7589	72302
95	7663	72163
96	7744	72091
97	7815	71934
98	7893	71842
99	7973	71763
100	8043	71595
101	8110	71400
102	8190	71331
103	8267	71229
104	8344	71130
105	8430	71103
106	8498	70923
107	8574	70822
108	8644	70659
109	8718	70540
110	8789	70395
111	8852	70190
112	8942	70191
113	9017	70081
114	9098	70015
115	9168	69870
116	9247	69792
117	9330	69744
118	9404	69626
119	9457	69352
120	9520	69162
121	9587	68997
122	9652	68824
123	9719	68661
124	9792	68550
125	9863	68421
126	9943	68354
127	10015	68230
128	10095	68164
129	10172	68074
130	10244	67956
131	10315	67829
132	10382	67684
133	10456	67578
134	10530	67472
135	10599	67336
136	10680	67281
137	10751	67159
138	10817	67008
139	10898	66948
140	10972	66843
141	11041	66713
142	11112	66595
143	11186	66497
144	11262	66408
145	11333	66290
146	11414	66232
147	11484	66110
148	11554	65994
149	11625	65875
150	11699	65780
151	11772	65679
152	11832	65506
153	11907	65412
154	11965	65233
155	12036	65118
156	12107	65008
157	12178	64898
158	12248	64787
159	12323	64696
160	12404	64644
161	12481	64563
162	12550	64447
163	12619	64326
164	12715	64345
165	12795	64284
166	12878	64238
167	12960	64186
168	13040	64123
169	13117	64042
170	13190	63945
171	13253	63799
172	13326	63705
173	13407	63647
174	13481	63556
175	13563	63502
176	13638	63416
177	13731	63411
178	13817	63376
179	13898	63317
180	13984	63278
181	14063	63207
182	14134	63101
183	14212	63029
184	14283	62922
185	14347	62791
186	14418	62685
187	14494	62603
188	14566	62505
189	14640	62415
190	14708	62300
191	14768	62150
192	14834	62028
193	14904	61922
194	14971	61807
195	15034	61673
196	15109	61588
197	15194	61545
198	15263	61437
199	15328	61313
200	15400	61219
201	15492	61204
202	15571	61133
203	15647	61057
204	15717	60954
205	15786	60845
206	15845	60704
207	15920	60620
208	15990	60517
209	16057	60407
210	16115	60259
211	16192	60186
212	16259	60075
213	16332	59988
214	16410	59917
215	16469	59777
216	16542	59689
217	16612	59590
218	16677	59474
219	16751	59390
220	16831	59328
221	16900	59227
222	16965	59113
223	17042	59040
224	17110	58936
225	17178	58832
226	17252	58749
227	17321	58649
228	17383	58528
229	17457	58445
230	17531	58361
231	17610	58295
232	17672	58174
233	17745	58091
234	17816	57998
235	17888	57908
236	17958	57814
237	18040	57759
238	18119	57694
239	18180	57571
240	18250	57477
241	18330	57416
242	18394	57302
243	18468	57222
244	18550	57165
245	18685	57271
246	18786	57271
247	18888	57274
248	19010	57337
249	19144	57432
250	19268	57497
251	19442	57710
252	19971	58968
253	20375	59842
254	20758	60647
255	21422	62259
256	21858	63193
257	22568	64907
258	24000	68665
259	25604	72875
260	26798	75876
261	27596	77734
262	28483	79818
263	29340	81798
264	30711	85182
265	32045	88425
266	33177	91083
267	34402	93964
268	34662	94193
269	35177	95108
270	36442	98031
271	37479	100313
272	38856	103474
273	40584	107533
274	41912	110495
275	42827	112344
276	43980	114793
277	44746	116213
278	45446	117443
279	46021	118339
280	46971	120186
281	47527	121009
282	48423	122683
283	48876	123223
284	49427	124002
285	50056	124966
286	50925	126514
287	51498	127315
288	51907	127703
289	52437	128381
290	53154	129506
291	53846	130560
292	54733	132069
293	55300	132796
294	57125	136520
295	58167	138345
296	59228	140194
297	61688	145320
298	62334	146142
299	63032	147075
300	64571	149952
301	65970	152473
302	66082	152012
303	66206	151577
304	66289	151052
305	66381	150550
306	66462	150027
307	66550	149523
308	66648	149041
309	66726	148519
310	66813	148020
311	66893	147508
312	66977	147007
313	67072	146533
314	67146	146016
315	67238	145541
316	67343	145096
317	67421	144596
318	67520	144142
319	67608	143667
320	67682	143166
321	67751	142657
322	67839	142188
323	67915	141700
324	67998	141227
325	68081	140757
326	68170	140301
327	68262	139854
328	68333	139367
329	68399	138871
330	68466	138380
331	68543	137911
332	68635	137476
333	68718	137025
334	68784	136542
335	68873	136106
336	68947	135645
